id,name,japanName,hiragana,bust,waist,hip,height,birthday,blood_type,hobby,prefectures,age
3,Kitagawa Yui,北川ゆい,きたがわゆい,95.0,60.0,88.0,,1980-12-14,AB,クラシックバレエ,,41.0
4,Akira,Akira,あきら,90.0,58.0,86.0,157.0,1978-08-15,A,水泳、ゴルフ,東京都,43.0
6,Cocolo,COCOLO,こころ,96.0,55.0,85.0,168.0,1982-07-07,B,パソコン,茨城県,39.0
8,Saiko,Saiko,さいこ,80.0,59.0,82.0,162.0,1983-04-12,O,料理、大食い,東京都,38.0
11,Aida Momo,あいだもも,あいだもも,82.0,55.0,89.0,162.0,1970-06-18,A,エアロビクス,東京都,51.0
13,Asano Kurumi,あさのくるみ,あさのくるみ,94.0,,,,,,,,
17,Aduki Miyu,あづき美由,あづきみゆ,85.0,60.0,88.0,165.0,1982-12-12,A,ゲーム,埼玉県,39.0
23,Eve,イヴ（神代弓子）,いう゛（くましろゆみこ）,88.0,58.0,86.0,160.0,1963-11-22,O,スキューバダイビング、パソコン、衣装デザイン,静岡県,58.0
25,Isikawa Airi,いしかわ愛里,いしかわあいり,86.0,58.0,90.0,152.0,1982-09-03,,料理、パソコン,東京都,39.0
27,Itou Siina,いとうしいな,いとうしいな,93.0,58.0,88.0,167.0,1970-10-06,A,,東京都,51.0
32,Usami Kyouka,うさみ恭香,うさみきょうか,83.0,58.0,85.0,155.0,1980-01-05,O,ショッピング,東京都,41.0
33,Utida Mahiro,うちだまひろ,うちだまひろ,88.0,59.0,88.0,166.0,1981-07-04,A,旅行、読書,東京都,40.0
34,Ubara Maiko,うばらまいこ,うばらまいこ,,,,,,,,,
43,Kaguyahime,かぐやひめ,かぐやひめ,85.0,60.0,87.0,150.0,1981-12-15,A,おひるね、散歩、料理,,40.0
46,Katori Konomi,かとりこのみ,かとりこのみ,90.0,58.0,84.0,152.0,1980-05-22,O,ショッピング、スポーツ観戦,東京都,41.0
47,Kanai Kaho,かないかほ,かないかほ,85.0,58.0,86.0,,,,,,
60,Kusunoki Kotomi,くすのき琴美,くすのきことみ,84.0,58.0,85.0,160.0,1981-03-21,B,,北海道,40.0
61,Kumiko Guresu,クミコグレース,くみこぐれーす,90.0,60.0,90.0,166.0,1968-05-02,AB,,東京都,53.0
63,Kuramoto Mai,くらもとまい（葉月ありさ）,くらもとまい（はづきありさ）,83.0,57.0,85.0,160.0,1979-10-25,O,カラオケ,千葉県,42.0
79,Sasaki Huuka,ささきふう香,ささきふうか,92.0,59.0,86.0,157.0,1978-01-10,A,,,43.0
80,Satomi,さとみ,さとみ,,,,,,,,,
